IE4UFYCM, Full Time Employee, 1995-03-21,27, 2022-07-26, 2022-09-01, Career change,Voluntary, Male, Divorced, M6, SML,95351.34, Denmark, Aalborg, Sales & Marketing, DM1, Jewish, Danish, 
MP5QRWI7, Full Time Employee, 1969-11-16,53, 2008-08-21, , ,, Male, Married, M6, SML,95348.64, United Kingdom, London, Engineering, UK1, Hindu, White, 
AIGTN3OB, Casual Employee, 1969-11-26,53, 2020-06-10, , ,, Female, Divorced, M4, MML,61548.91, Belgium, Antwerp, Engineering, BL1, Athiest, Belgian, 
SRDIHA27, Full Time Employee, 1970-03-15,52, 2021-03-19, , ,, Female, Widowed, M1, JML,35448.69, United Kingdom, Portsmouth, Customer Service, UK2, Jewish, Black British, 
4AYFDUGE, Full Time Employee, 1966-09-12,56, 1992-05-01, 2007-05-23, Performance,Involuntary, Male, Divorced, M5, SML,76547.42, United Kingdom, Warwick, Engineering, UK3, Hindu, White, 
LIDJ1099, Full Time Employee, 1985-02-28,38, 2016-11-03, 2020-01-20, Relocation,Voluntary, Male, Single, M2, JML,43200.72, Italy, Naples, Production, IT2, Christianity, Italian, 
SCXGRIPK, Full Time Employee, 1991-11-01,31, 2020-06-27, , ,, Female, Married, N2, NML,32748.54, India, Vizag, Engineering, IN1, Jainism, Dravidian, 
37J04OPR, Full Time Employee, 2000-09-04,22, 2020-06-17, , ,, Female, Divorced, M2, JML,43200.37, United Kingdom, Portsmouth, Production, UK3, Hindu, White, 
UGEAPVNM, Full Time Employee, 1981-07-21,41, 2013-09-29, , ,, Male, Separated, M3, MML,53049.62, United Kingdom, Portsmouth, Engineering, UK1, Hindu, Asian British, 
RWA12XDB, Full Time Employee, 1969-03-13,53, 2006-11-02, , ,, Female, Married, M2, JML,43200.49, Italy, Naples, Sales & Marketing, IT2, Islam, Italian, 
CCYW0YDR, Full Time Employee, 1964-09-02,58, 2017-07-27, , ,, Male, Married, M1, JML,35445.56, United States, Phoenix, Engineering, US4, Islam, White, 
27CUPIDJ, Full Time Employee, 1982-08-23,40, 2004-09-08, , ,, Male, Divorced, M3, MML,53050.88, India, Vizag, Production, IN4, Islam, Indo-Aryan, 
RXAZV5G9, Full Time Employee, 1988-05-01,34, 2010-06-29, , ,, Female, Divorced, M1, JML,35449.98, Netherlands, Amsterdam, Sales & Marketing, NL2, Christianity, Dutch, 
5ZLKIV7S, Full Time Employee, 1973-08-01,49, 2017-01-10, , ,, Male, Separated, M3, MML,53049.56, United States, Boise, Customer Service, US4, Athiest, White, 
H5UKAE5Z, Temporary Employee, 1966-07-12,56, 2019-12-31, , ,, Male, Married, M4, MML,61551.7, Indonesia, Jakarta, Engineering, IA2, Islam, Javanese, 
YYI4M5MS, Casual Employee, 1972-01-28,51, 1997-01-12, , ,, Male, Married, M1, JML,35450.23, India, Chennai, Production, IN3, Islam, Dravidian, 
9CVK89E6, Full Time Employee, 1975-12-13,47, 1998-05-05, , ,, Male, Widowed, M1, JML,35452.14, Indonesia, Bandung, Sales & Marketing, IA1, Christianity, Javanese, 
50GQ6TP3, Full Time Employee, 1970-01-30,53, 2000-10-02, , ,, Female, Widowed, M2, JML,43202.29, Indonesia, Jakarta, Sales & Marketing, IA1, Christianity, Javanese, 
AXHXM5SB, Full Time Employee, 1992-02-10,31, 2014-04-22, , ,, Male, Married, M1, JML,35449.71, India, Hyderabad, Sales & Marketing, IN4, Hinduism, Indo-Aryan, 
09JWKR51, Full Time Employee, 1970-12-12,52, 1990-06-16, 2003-09-28, Personal Reasons,Voluntary, Male, Single, M6, SML,95353.7, Denmark, Esbjerg, HR, DM1, Christianity, Turkish, 
5OMX3GAX, Full Time Employee, 2002-08-27,20, 2022-12-13, , ,, Male, Single, M4, MML,61546.3, Italy, Naples, Customer Service, IT3, Jewish, Italian, 
GAUBV9U2, Full Time Employee, 1975-03-19,47, 2018-07-21, , ,, Male, Married, M2, JML,43201.47, Netherlands, Amsterdam, Engineering, NL3, Christianity, Dutch, 
I0LRJ4VS, Full Time Employee, 1993-03-15,29, 2016-03-24, , ,, Male, Divorced, M3, MML,53051.86, China, Chongqing, Production, CN2, Athiest, Han Chinese, 
G6XYXGG8, Full Time Employee, 1992-09-08,30, 2020-03-09, , ,, Male, Widowed, M2, JML,43201.71, Belgium, Ghent, Production, BL2, Islam, Belgian, 
90OYK5HC, Full Time Employee, 1986-12-21,36, 2007-11-09, , ,, Male, Separated, M4, MML,61548.7, United States, Boise, Sales & Marketing, US1, Athiest, White, 
FKY1LOPG, Full Time Employee, 1990-12-29,32, 2021-03-23, , ,, Male, Separated, M5, SML,76547.05, United Kingdom, Warwick, Engineering, UK5, Islam, White, 
DG25EFK5, Full Time Employee, 1986-12-10,36, 2019-03-30, , ,, Male, Single, M5, SML,76550.56, United Kingdom, Warwick, Engineering, UK2, Hindu, Black British, 
FEVHGLMI, Full Time Employee, 1992-09-04,30, 2011-07-04, , ,, Male, Divorced, M4, MML,61549.33, United Kingdom, Jersey, Production, UK2, Christianity, White, 
F2A4JIT5, Full Time Employee, 1990-03-21,32, 2020-06-10, , ,, Male, Separated, M3, MML,53050.63, Denmark, Esbjerg, Engineering, DM1, Islam, Danish, 
39NC13DX, Full Time Employee, 1997-09-13,25, 2022-05-24, , ,, Male, Separated, M4, MML,61551.06, China, Peking, Engineering, CN3, Taoism, Han Chinese, 
CYV7VH5X, Fixed Term Contractual Employee, 1990-05-24,32, 2016-04-21, 2018-03-08, Career change,Voluntary, Female, Widowed, M2, JML,43199.48, Belgium, Brussels, Production, BL2, Christianity, Belgian, 
TD41SUPK, Casual Employee, 1996-03-14,26, 2014-08-04, , ,, Male, Separated, M1, JML,35448.72, Italy, Florence, Engineering, IT1, Christianity, Italian, 
SI0XJFJ1, Full Time Employee, 1987-04-01,35, 2012-06-01, , ,, Male, Single, M5, SML,76549.98, Italy, Naples, Customer Service, IT3, Islam, Italian, 
48UC2XHV, Full Time Employee, 1990-07-22,32, 2009-06-21, 2009-12-24, Career change,Voluntary, Male, Divorced, N2, NML,32746.8, Italy, Florence, Production, IT2, Jewish, Italian, 
CD713GJ4, Full Time Employee, 1983-11-25,39, 2003-10-30, , ,, Male, Single, M5, SML,76548.8, Indonesia, Bandung, Customer Service, IA3, Islam, Malay, 
78OH8FDH, Full Time Employee, 1962-10-30,60, 1994-08-14, , ,, Female, Separated, M2, JML,43197.47, China, Beijing, Engineering, CN1, Christianity, Han Chinese, 
UFARX4VG, Full Time Employee, 1984-09-13,38, 2017-03-15, 2021-03-11, Return to school,Voluntary, Male, Married, M3, MML,53049.14, Italy, Rome, Production, IT2, Athiest, Italian, 
FMKG91Q2, Full Time Employee, 1972-08-04,50, 2013-11-20, 2015-01-14, Return to school,Voluntary, Female, Divorced, M1, JML,35449.79, India, Vizag, Sales & Marketing, IN2, Sikhism, Indo-Aryan, 
8XWV0GTE, Full Time Employee, 1963-06-30,59, 1996-05-25, , ,, Male, Separated, M5, SML,76552.18, Netherlands, Amsterdam, Sales & Marketing, NL2, Christianity, Dutch, 
4OW65DDF, Full Time Employee, 1983-05-02,39, 2019-12-12, , ,, Male, Separated, M3, MML,53053.11, Denmark, Aalborg, Customer Service, DM1, Jewish, Danish, 
IQN8072D, Full Time Employee, 1977-12-27,45, 2020-09-03, , ,, Female, Single, M5, SML,76548.87, United Kingdom, Jersey, R&D, UK3, Christianity, Asian British, 
9S8909WR, Full Time Employee, 1994-01-01,29, 2013-12-30, , ,, Female, Single, M2, JML,43200.6, India, Bangalore, Production, IN3, Buddhism, Indo-Aryan, 
GJ3J6LL5, Full Time Employee, 1999-11-30,23, 2022-05-30, , ,, Female, Married, M4, MML,61550.2, United Kingdom, Jersey, Engineering, UK1, Islam, White, 
