KR1728LI, Full Time Employee, 1963-07-05, 59, 1987-12-03, 1999-09-18, Performance, Female, Single, M1, JML, 35449.62, Germany, EUR, Berlin, Production, GER1, Christianity
Z2WHU28D, Full Time Employee, 1996-11-19, 26, 2015-05-28, 2021-09-28, Career change, Male, Widowed, M3, MML, 53047.79, India, INR, Vizag, Production, IN2, Islam
74T32JIN, Full Time Employee, 1966-06-01, 56, 2010-11-22, 2021-07-12, Medical issues, Female, Separated, M3, MML, 53048.80, India, INR, Delhi, Sales & Marketing, IN4, Sikhism
PZKQYFGB, Full Time Employee, 1994-03-14, 28, 2022-02-16, , , Female, Separated, M5, SML, 76549.82, Germany, EUR, Berlin, Engineering, GER2, Islam
H7ZKM2VP, Full Time Employee, 2004-10-28, 18, 2023-01-05, , , Male, Widowed, M5, SML, 76549.09, India, INR, Hyderabad, Sales & Marketing, IN3, Sikhism
RSJY9ZOW, Full Time Employee, 1987-08-18, 35, 2016-06-13, 2017-03-29, Gross misconduct, Male, Single, M2, JML, 43201.61, US, USD, Boise, Engineering, US5, Christianity
LNTE88B6, Full Time Employee, 1975-07-26, 47, 2002-07-07, 2012-03-08, Relocation, Male, Separated, M7, TML, 106449.39, India, INR, Delhi, Engineering, IN4, Sikhism
SR863J6J, Full Time Employee, 1981-12-14, 41, 2020-03-23, 2020-05-30, Gross misconduct, Male, Married, M2, JML, 43201.08, Germany, EUR, Bonn, Customer Service, GER1, Christianity
85YIPT51, Full Time Employee, 1990-03-19, 32, 2019-04-02, , , Female, Single, M4, MML, 61548.39, US, USD, Boise, Production, US6, Athiest
XUAXJIAJ, Casual Employee, 1970-11-17, 52, 1992-01-01, , , Male, Married, M3, MML, 53049.22, India, INR, Vizag, Production, IN4, Buddhism
IYR5Q3KU, Full Time Employee, 1971-04-25, 51, 2008-12-30, , , Male, Divorced, M1, JML, 35449.33, Germany, EUR, Frankfurt, Engineering, GER2, Islam
9UA6X60G, Full Time Employee, 1996-05-29, 26, 2021-06-27, , , Female, Divorced, M6, SML, 95350.05, India, INR, Hyderabad, Engineering, IN1, Hinduism
BNRMMO9Y, Full Time Employee, 1999-01-21, 24, 2017-05-22, 2019-02-13, Medical issues, Female, Single, M1, JML, 35448.60, India, INR, Delhi, Production, IN1, Sikhism
V8XJNCMI, Full Time Employee, 2000-10-03, 22, 2021-02-01, , , Female, Widowed, M2, JML, 43199.39, US, USD, Boise, Sales & Marketing, US5, Christianity
5M0BOOOI, Full Time Employee, 1980-06-11, 42, 2018-05-20, 2019-12-17, AWOL, Male, Separated, M5, SML, 76548.89, Germany, EUR, Berlin, Logistics, GER2, Islam
9TSVUAAC, Full Time Employee, 1981-10-18, 41, 2013-10-16, 2022-08-30, Return to school, Male, Separated, M4, MML, 61548.53, Germany, EUR, Frankfurt, Engineering, GER2, Christianity
VGIRLUVL, Full Time Employee, 1985-12-17, 37, 2008-04-07, , , Male, Divorced, M1, JML, 35448.27, US, USD, Boise, Procurement, US2, Islam
PZBY64FH, Full Time Employee, 1989-09-14, 33, 2010-09-13, 2021-01-23, Return to school, Male, Single, M1, JML, 35449.31, US, USD, Boston, Production, US2, Jewish
48PAPNN5, Full Time Employee, 1969-10-15, 53, 1989-07-04, , , Female, Single, M3, MML, 53050.42, India, INR, Vizag, Production, IN4, Christianity
DT40N0Z0, Full Time Employee, 1988-02-20, 35, 2012-01-08, 2015-11-01, Performance, Male, Widowed, M3, MML, 53048.08, US, USD, Boise, HR, US5, Jewish
3ZKHI0R1, Full Time Employee, 1975-05-19, 47, 2014-10-08, , , Female, Divorced, N2, NML, 32754.48, Germany, EUR, Berlin, Production, GER2, Christianity
8F5OMKYU, Full Time Employee, 1972-04-01, 50, 2011-05-22, 2013-04-09, Gross misconduct, Female, Divorced, M1, JML, 35453.45, Germany, EUR, Frankfurt, Engineering, GER2, Christianity
URCUV979, Full Time Employee, 1997-06-05, 25, 2015-12-20, 2022-06-19, Gross misconduct, Male, Divorced, M3, MML, 53048.65, India, INR, Bangalore, Customer Service, IN3, Buddhism
ZL5OBQNX, Full Time Employee, 1965-02-12, 58, 1992-05-04, 1997-06-26, Career change, Male, Widowed, M3, MML, 53050.55, US, USD, Boston, Production, US6, Christianity
R3C0O93W, Full Time Employee, 1980-07-17, 42, 2011-06-17, 2012-01-06, Gross misconduct, Female, Single, M4, MML, 61550.08, India, INR, Delhi, R&D, IN4, Buddhism
KNDLCZBF, Full Time Employee, 1965-02-22, 58, 2021-12-09, , , Female, Divorced, M4, MML, 61549.88, Germany, EUR, Frankfurt, Production, GER1, Christianity
6A92Z96G, Full Time Employee, 1989-03-06, 33, 2008-04-25, , , Male, Single, M1, JML, 35450.06, US, USD, Phoenix, Production, US3, Jewish
JB9Z1O8G, Full Time Employee, 1992-02-22, 31, 2018-05-22, 2022-07-23, Medical issues, Male, Divorced, M6, SML, 95352.86, US, USD, Phoenix, Production, US2, Jewish
BR8B8D0O, Full Time Employee, 1964-07-31, 58, 2018-03-30, , , Female, Married, M1, JML, 35451.08, US, USD, New York, Customer Service, US4, Islam
4Q9YQ88M, Full Time Employee, 1963-11-06, 59, 1993-01-20, 1996-03-07, Medical issues, Female, Single, M4, MML, 61549.80, India, INR, Delhi, Production, IN4, Hinduism
P115OJK5, Full Time Employee, 1979-08-11, 43, 2002-08-23, 2005-09-09, Gross misconduct, Female, Married, M2, JML, 43204.49, Germany, EUR, Bonn, Engineering, GER1, Islam
PFJTJQ73, Full Time Employee, 2001-11-09, 21, 2021-10-16, 2022-05-14, Gross misconduct, Male, Separated, M2, JML, 43201.49, Germany, EUR, Bonn, Customer Service, GER2, Islam
AI88P2C9, Full Time Employee, 1966-09-29, 56, 1994-04-16, , , Female, Single, M3, MML, 53046.89, US, USD, Phoenix, Sales & Marketing, US6, Islam
KDBCO74A, Full Time Employee, 1971-03-08, 51, 2007-02-27, , , Male, Widowed, M1, JML, 35454.58, US, USD, Boston, Production, US3, Islam
71O9XR28, Full Time Employee, 1993-02-13, 30, 2016-09-21, , , Male, Widowed, M4, MML, 61552.80, Germany, EUR, Bonn, Sales & Marketing, GER1, Christianity
7PYGMIZI, Full Time Employee, 1974-01-13, 49, 2003-10-07, , , Female, Separated, M2, JML, 43198.91, India, INR, Delhi, Production, IN2, Christianity
UWB4UBXO, Full Time Employee, 2001-12-10, 21, 2021-11-21, , , Male, Married, M4, MML, 61549.65, Germany, EUR, Berlin, Sales & Marketing, GER1, Islam
KEHDN3YQ, Full Time Employee, 1973-07-24, 49, 1995-05-29, 2007-03-24, Medical issues, Male, Divorced, M3, MML, 53049.09, India, INR, Hyderabad, Customer Service, IN1, Jainism
BIZPILR2, Fixed Term Contractual Employee, 1970-02-01, 53, 2002-08-01, 2007-05-20, Return to school, Female, Divorced, M1, JML, 35446.42, India, INR, Hyderabad, Engineering, IN2, Islam
H0RDQXR1, Full Time Employee, 1993-04-25, 29, 2021-11-23, , , Male, Separated, M2, JML, 43197.01, US, USD, Boise, Logistics, US4, Jewish
8I4JMWP6, Full Time Employee, 1987-08-29, 35, 2008-04-08, , , Female, Widowed, M2, JML, 43201.32, Germany, EUR, Bonn, Logistics, GER1, Islam
BIPN2WDH, Full Time Employee, 2004-11-04, 18, 2022-11-18, 2023-02-06, Career change, Female, Separated, M2, JML, 43203.31, Germany, EUR, Berlin, R&D, GER1, Christianity
2X3AXD5L, Full Time Employee, 1984-08-15, 38, 2019-12-15, , , Male, Single, M1, JML, 35449.97, Germany, EUR, Berlin, Customer Service, GER1, Islam
HZI3AT1X, Full Time Employee, 1997-06-08, 25, 2018-04-18, 2020-04-24, Performance, Female, Separated, N2, NML, 32750.89, India, INR, Vizag, Production, IN1, Buddhism
2WG7XGNB, Full Time Employee, 1981-11-27, 41, 2017-05-23, 2023-02-01, Medical issues, Female, Widowed, M2, JML, 43200.01, Germany, EUR, Berlin, Sales & Marketing, GER1, Christianity
4QSW7IAS, Full Time Employee, 1985-12-25, 37, 2006-08-31, 2019-05-24, Medical issues, Male, Married, M1, JML, 35445.56, Germany, EUR, Bonn, Customer Service, GER1, Islam
031A4QYB, Full Time Employee, 1990-10-18, 32, 2022-06-21, , , Female, Single, M5, SML, 76552.65, Germany, EUR, Bonn, Packing, GER1, Christianity
HC7LCNDP, Temporary Employee, 1999-06-12, 23, 2021-12-30, 2022-10-30, AWOL, Male, Single, M4, MML, 61548.25, US, USD, New York, Production, US6, Christianity
CLW7ZT00, Full Time Employee, 2003-06-25, 19, 2022-07-17, , , Female, Single, M7, TML, 106444.78, India, INR, Delhi, Customer Service, IN4, Christianity
98BDUX72, Full Time Employee, 1988-08-02, 34, 2012-11-14, 2021-04-06, Medical issues, Male, Separated, M2, JML, 43199.37, US, USD, Boise, Production, US5, Jewish
8G4GZGQE, Full Time Employee, 1978-11-03, 44, 2012-05-09, , , Male, Separated, M4, MML, 61551.61, Germany, EUR, Bonn, Production, GER1, Islam
61MURT1F, Full Time Employee, 1985-07-22, 37, 2006-12-15, 2022-01-19, Career change, Male, Widowed, N2, NML, 32748.96, Germany, EUR, Frankfurt, HR, GER1, Christianity
KAZXJG5D, Full Time Employee, 1975-12-28, 47, 1998-10-29, 2017-02-11, Career change, Male, Separated, M1, JML, 35451.42, Germany, EUR, Bonn, Production, GER2, Islam
RQN26U9J, Fixed Term Contractual Employee, 1982-01-05, 41, 2008-12-30, 2016-02-03, Performance, Female, Single, M2, JML, 43201.75, US, USD, Boise, Sales & Marketing, US5, Athiest
UF1V7FRP, Temporary Employee, 1989-02-23, 34, 2017-01-02, , , Male, Married, M2, JML, 43200.40, India, INR, Vizag, Customer Service, IN2, Hinduism
6GJXOF5D, Full Time Employee, 1979-09-17, 43, 2005-02-16, 2014-04-25, Medical issues, Male, Separated, M2, JML, 43199.44, US, USD, Phoenix, Packing, US2, Jewish
UWRL84RB, Full Time Employee, 1961-04-27, 61, 2007-11-03, , , Male, Separated, M4, MML, 61550.63, Germany, EUR, Frankfurt, Production, GER1, Christianity
SE61257C, Full Time Employee, 1963-07-26, 59, 1984-08-26, 1998-10-26, Medical issues, Male, Separated, M2, JML, 43200.73, India, INR, Vizag, Customer Service, IN2, Jainism
J84XNCPD, Full Time Employee, 1966-12-19, 56, 2009-02-16, 2019-07-19, AWOL, Male, Married, M1, JML, 35449.49, Germany, EUR, Bonn, Engineering, GER1, Christianity
PP0ET90H, Full Time Employee, 1971-11-22, 51, 1999-02-18, , , Female, Married, M2, JML, 43199.90, Germany, EUR, Frankfurt, Customer Service, GER2, Islam
I13F2ZGL, Full Time Employee, 1972-07-04, 50, 2021-11-09, , , Female, Divorced, M2, JML, 43199.00, US, USD, New York, Sales & Marketing, US4, Athiest
QJALQQ1A, Full Time Employee, 1985-09-03, 37, 2018-10-17, 2022-11-12, Performance, Male, Widowed, M2, JML, 43199.50, US, USD, Phoenix, Production, US6, Athiest
DL6BVFUW, Full Time Employee, 1988-12-09, 34, 2011-02-28, , , Male, Divorced, M4, MML, 61550.41, US, USD, Phoenix, Logistics, US3, Athiest
IBIA1OVW, Casual Employee, 1965-12-25, 57, 2019-09-09, , , Male, Single, M1, JML, 35447.97, Germany, EUR, Bonn, Production, GER2, Christianity
2XV01YAW, Full Time Employee, 1995-06-27, 27, 2022-06-04, 2022-11-04, AWOL, Male, Divorced, M4, MML, 61550.16, Germany, EUR, Berlin, Sales & Marketing, GER1, Islam
IZ11FPSC, Full Time Employee, 1966-04-14, 56, 2015-06-05, 2022-04-19, AWOL, Male, Single, M1, JML, 35450.64, US, USD, New York, Logistics, US1, Jewish
OO56YIOU, Full Time Employee, 1987-07-29, 35, 2006-11-03, , , Male, Divorced, M2, JML, 43200.04, Germany, EUR, Bonn, Production, GER2, Islam
ZGFG3UU0, Full Time Employee, 1998-07-12, 24, 2018-06-15, 2021-03-16, Gross misconduct, Female, Widowed, M3, MML, 53048.53, US, USD, Boise, Production, US1, Christianity
72EERL35, Full Time Employee, 1999-05-02, 23, 2019-07-03, , , Female, Separated, M2, JML, 43199.39, Germany, EUR, Bonn, HR, GER2, Christianity
